code,num
C1072,296.0
C1128,250.62
C1456,718.64
C1840,330.5
C1332,29.41
C1563,351.21
C1794,530.88
C1640,579.52
C1377,816.75
C2072,441.36
C1472,673.18
C1006,368.89
C1083,987.29
C1311,1284.08
C2676,229.22
C2318,831.08
C1603,529.71
C2523,926.44
C2177,294.75
C2411,301.56
C2033,316.94
C1604,727.42
C2535,331.61
C1040,147.27
C2417,214.75
C1812,423.31
C2253,599.99
C1294,877.44
C1772,517.23
C2646,455.57
C1152,555.66
C2423,405.08
C1844,480.3
C1318,402.62
C1729,317.06
C1602,216.67
C1239,410.27
C1721,88.64
C1902,958.62
C1855,267.5
C2600,418.93
C1071,670.9
C2295,382.31
C1621,734.89
C1852,495.9
C2555,510.74
C1297,472.44
C2323,127.93
C2215,864.61
C2112,1082.27
C1830,632.48
C2602,912.2
C2608,1068.9
C1215,1538.82
C2369,251.31
C1158,954.73
C1887,259.39
C1189,282.75
C1637,340.06
C1225,488.57
C2374,918.92
C2397,572.12
C1105,280.62
C1782,127.05
C1629,174.51
C1708,377.73
C2144,386.31
C1617,267.65
C1149,1065.43
C1323,263.99
C1064,624.21
C1019,557.89
C2269,84.67
C1416,447.94
C1250,524.47
C1741,370.75
C1016,421.35
C2675,911.77
C2436,111.75
C2039,238.94
C1253,427.48
C2028,792.87
C1166,928.06
C1135,569.79
C1216,77.79
C1593,515.72
C1826,719.36
C1827,747.33
C1564,317.5
C1495,418.26
C2653,805.04
C1392,989.24
C2128,167.37
C1282,797.33
C1521,255.82
C2076,305.7
C1060,1024.9
C2473,159.6
C2557,392.07
C1835,532.03
C2224,294.19
C2222,546.14
C2430,581.64
C2497,34.87
C1494,473.24
C1457,901.6
C1525,204.11
C1712,239.02
C2267,407.52
C1623,438.57
C2131,611.25
C2691,123.7
C1147,1150.91
C1692,434.7
C1570,569.94
C1474,709.79
C1633,447.41
C2113,1432.63
C2175,297.27
C2303,537.82
C2547,670.9
C2292,406.39
C1496,596.72
C1289,396.06
C1849,561.57
C1003,139.28
C2268,778.14
C2551,367.42
C2688,175.55
C1030,711.98
C1327,574.59
C2451,544.45
C1749,244.4
C1349,992.45
C2043,412.13
C1229,270.33
C2363,500.6
C1414,477.84
C2174,593.51
C2091,1065.0
C2335,576.55
C1841,467.88
C2404,292.69
C1683,889.94
C1038,529.36
C2456,861.83
C1266,898.82
C2152,157.92
C1267,89.48
C2189,1008.51
