code,num
C1072,733.5
C1128,1273.2
C1456,524.4
C1840,530.43
C1332,1212.11
C1563,1629.4
C1794,854.39
C1640,529.57
C1377,394.39
C2072,266.83
C1472,455.08
C1006,267.65
C1083,433.7
C1311,268.95
C2676,250.57
C2318,354.23
C1603,436.35
C2523,296.81
C2177,179.83
C2411,668.5
C2033,196.39
C1604,550.76
C2535,590.24
C1040,511.46
C2417,494.43
C1812,136.67
C2253,126.25
C1294,619.61
C1772,549.7
C2646,579.53
C1152,991.6
C2423,136.17
C1844,512.96
C1318,248.92
C1729,96.53
C1602,256.66
C1239,418.44
C1721,612.79
C1902,844.44
C1855,298.23
C2600,420.73
C1071,517.04
C2295,453.49
C1621,529.63
C1852,799.48
C2555,1110.15
C1297,468.35
C2323,605.15
C2215,384.55
C2112,386.54
C1830,767.8
C2602,294.5
C2608,1128.89
C1215,710.67
C2369,660.64
C1158,321.42
C1887,555.43
C1189,295.01
C1637,431.97
C1225,101.99
C2374,378.72
C2397,590.89
C1105,896.32
C1782,475.07
C1629,103.5
C1708,287.13
C2144,588.65
C1617,1033.21
C1149,589.29
C1323,472.77
C1064,680.83
C1019,293.08
C2269,616.62
C1416,780.42
C1250,770.0
C1741,482.16
C1016,697.56
C2675,980.46
C2436,746.97
C2039,827.1
C1253,696.06
C2028,1193.96
C1166,313.79
C1135,270.1
C1216,319.56
C1593,216.26
C1826,252.09
C1827,417.13
C1564,280.3
C1495,934.46
C2653,916.08
C1392,627.27
C2128,274.65
C1282,530.38
C1521,1030.51
C2076,882.77
C1060,632.1
C2473,970.21
C2557,880.68
C1835,792.66
C2224,899.38
C2222,431.38
C2430,810.43
C2497,717.89
C1494,977.01
C1457,580.33
C1525,1140.75
C1712,588.77
C2267,861.41
C1623,276.4
C2131,558.95
C2691,1117.15
C1147,781.12
C1692,827.99
C1570,865.24
C1474,134.18
C1633,169.01
C2113,560.57
C2175,858.25
C2303,1373.12
C2547,547.14
C2292,702.01
C1496,670.49
C1289,395.75
C1849,646.31
C1003,270.52
C2268,518.8
C2551,608.61
C2688,98.02
C1030,32.92
C1327,105.68
C2451,536.61
C1749,605.4
C1349,290.06
C2043,292.08
C1229,266.66
C2363,456.14
C1414,477.13
C2174,481.35
C2091,110.27
C2335,537.86
C1841,64.85
C2404,143.66
C1683,274.49
C1038,330.89
C2456,251.57
C1266,495.23
C2152,27.86
C1267,461.91
C2189,263.22
